EAST	NORTH	ELEVATION	GXXcal	GXYcal	GXZcal	GYYcal	GYZcal	GZZcal
-1	-1	2	-0.833	0.891	-1.738	-0.833	-1.738	1.666
-1	-0.8	2	-0.852	0.841	-2.025	-1.21	-1.639	2.06
-1	-0.6	2	-0.86	0.731	-2.301	-1.588	-1.424	2.448
-1	-0.4	2	-0.862	0.558	-2.538	-1.925	-1.088	2.786
-1	-0.2	2	-0.86	0.331	-2.708	-2.171	-0.645	3.03
-1	0	2	-0.858	0.068	-2.785	-2.284	-0.133	3.142
-1	0.2	2	-0.859	-0.202	-2.759	-2.246	0.394	3.104
-1	0.4	2	-0.861	-0.45	-2.633	-2.062	0.878	2.923
-1	0.6	2	-0.862	-0.652	-2.426	-1.765	1.271	2.626
-1	0.8	2	-0.857	-0.794	-2.166	-1.401	1.547	2.257
-1	1	2	-0.844	-0.873	-1.881	-1.019	1.702	1.862
-0.8	-1	2	-1.21	0.841	-1.639	-0.852	-2.025	2.06
-0.8	-0.8	2	-1.283	0.802	-1.93	-1.283	-1.93	2.565
-0.8	-0.6	2	-1.343	0.703	-2.213	-1.725	-1.692	3.067
-0.8	-0.4	2	-1.388	0.541	-2.459	-2.123	-1.301	3.511
-0.8	-0.2	2	-1.416	0.322	-2.636	-2.417	-0.775	3.833
-0.8	0	2	-1.428	0.066	-2.717	-2.554	-0.16	3.982
-0.8	0.2	2	-1.424	-0.197	-2.689	-2.508	0.474	3.932
-0.8	0.4	2	-1.404	-0.438	-2.558	-2.287	1.053	3.691
-0.8	0.6	2	-1.368	-0.63	-2.342	-1.933	1.515	3.3
-0.8	0.8	2	-1.315	-0.76	-2.074	-1.506	1.83	2.82
-0.8	1	2	-1.248	-0.828	-1.784	-1.063	1.994	2.31
-0.6	-1	2	-1.588	0.731	-1.424	-0.86	-2.301	2.448
-0.6	-0.8	2	-1.725	0.703	-1.692	-1.343	-2.213	3.067
-0.6	-0.6	2	-1.846	0.622	-1.956	-1.846	-1.956	3.691
-0.6	-0.4	2	-1.943	0.482	-2.188	-2.305	-1.514	4.248
-0.6	-0.2	2	-2.009	0.289	-2.356	-2.647	-0.906	4.656
-0.6	0	2	-2.038	0.06	-2.434	-2.808	-0.187	4.845
-0.6	0.2	2	-2.028	-0.177	-2.408	-2.753	0.555	4.781
-0.6	0.4	2	-1.98	-0.391	-2.282	-2.496	1.228	4.475
-0.6	0.6	2	-1.898	-0.559	-2.078	-2.086	1.758	3.983
-0.6	0.8	2	-1.788	-0.67	-1.826	-1.596	2.107	3.383
-0.6	1	2	-1.658	-0.723	-1.557	-1.096	2.276	2.753
-0.4	-1	2	-1.925	0.558	-1.088	-0.862	-2.538	2.786
-0.4	-0.8	2	-2.123	0.541	-1.301	-1.388	-2.459	3.511
-0.4	-0.6	2	-2.305	0.482	-1.514	-1.943	-2.188	4.248
-0.4	-0.4	2	-2.456	0.376	-1.703	-2.456	-1.703	4.911
-0.4	-0.2	2	-2.56	0.226	-1.842	-2.841	-1.023	5.4
-0.4	0	2	-2.607	0.047	-1.906	-3.022	-0.212	5.629
-0.4	0.2	2	-2.591	-0.139	-1.884	-2.96	0.628	5.551
-0.4	0.4	2	-2.514	-0.306	-1.781	-2.669	1.385	5.184
-0.4	0.6	2	-2.385	-0.435	-1.614	-2.21	1.972	4.595
-0.4	0.8	2	-2.217	-0.517	-1.409	-1.666	2.349	3.883
-0.4	1	2	-2.025	-0.555	-1.193	-1.118	2.52	3.143
-0.2	-1	2	-2.171	0.331	-0.645	-0.86	-2.708	3.03
-0.2	-0.8	2	-2.417	0.322	-0.775	-1.416	-2.636	3.833
-0.2	-0.6	2	-2.647	0.289	-0.906	-2.009	-2.356	4.656
-0.2	-0.4	2	-2.841	0.226	-1.023	-2.56	-1.842	5.4
-0.2	-0.2	2	-2.976	0.136	-1.109	-2.976	-1.109	5.953
-0.2	0	2	-3.038	0.028	-1.149	-3.173	-0.23	6.211
-0.2	0.2	2	-3.017	-0.084	-1.136	-3.106	0.681	6.123
-0.2	0.4	2	-2.917	-0.184	-1.071	-2.791	1.499	5.708
-0.2	0.6	2	-2.75	-0.261	-0.967	-2.295	2.128	5.045
-0.2	0.8	2	-2.536	-0.309	-0.841	-1.712	2.524	4.248
-0.2	1	2	-2.295	-0.33	-0.709	-1.13	2.695	3.425
0	-1	2	-2.284	0.068	-0.133	-0.858	-2.785	3.142
0	-0.8	2	-2.554	0.066	-0.16	-1.428	-2.717	3.982
0	-0.6	2	-2.808	0.06	-0.187	-2.038	-2.434	4.845
0	-0.4	2	-3.022	0.047	-0.212	-2.607	-1.906	5.629
0	-0.2	2	-3.173	0.028	-0.23	-3.038	-1.149	6.211
0	0	2	-3.242	0.006	-0.238	-3.242	-0.238	6.484
0	0.2	2	-3.219	-0.017	-0.235	-3.172	0.706	6.391
0	0.4	2	-3.107	-0.038	-0.222	-2.846	1.553	5.952
0	0.6	2	-2.921	-0.054	-0.2	-2.333	2.201	5.254
0	0.8	2	-2.684	-0.064	-0.174	-1.732	2.605	4.417
0	1	2	-2.42	-0.068	-0.146	-1.135	2.775	3.555
0.2	-1	2	-2.246	-0.202	0.394	-0.859	-2.759	3.104
0.2	-0.8	2	-2.508	-0.197	0.474	-1.424	-2.689	3.932
0.2	-0.6	2	-2.753	-0.177	0.555	-2.028	-2.408	4.781
0.2	-0.4	2	-2.96	-0.139	0.628	-2.591	-1.884	5.551
0.2	-0.2	2	-3.106	-0.084	0.681	-3.017	-1.136	6.123
0.2	0	2	-3.172	-0.017	0.706	-3.219	-0.235	6.391
0.2	0.2	2	-3.15	0.051	0.698	-3.15	0.698	6.3
0.2	0.4	2	-3.042	0.113	0.658	-2.827	1.535	5.869
0.2	0.6	2	-2.863	0.16	0.593	-2.32	2.176	5.183
0.2	0.8	2	-2.634	0.189	0.515	-1.726	2.578	4.359
0.2	1	2	-2.378	0.202	0.434	-1.133	2.748	3.511
0.4	-1	2	-2.062	-0.451	0.878	-0.861	-2.633	2.923
0.4	-0.8	2	-2.287	-0.438	1.053	-1.404	-2.558	3.691
0.4	-0.6	2	-2.496	-0.391	1.228	-1.98	-2.282	4.475
0.4	-0.4	2	-2.669	-0.306	1.385	-2.514	-1.781	5.184
0.4	-0.2	2	-2.791	-0.184	1.499	-2.917	-1.071	5.708
0.4	0	2	-2.846	-0.038	1.553	-3.107	-0.222	5.952
0.4	0.2	2	-2.827	0.113	1.535	-3.042	0.658	5.869
0.4	0.4	2	-2.738	0.249	1.449	-2.738	1.449	5.475
0.4	0.6	2	-2.588	0.353	1.31	-2.258	2.059	4.846
0.4	0.8	2	-2.395	0.419	1.142	-1.692	2.447	4.086
0.4	1	2	-2.176	0.448	0.964	-1.125	2.618	3.3
0.6	-1	2	-1.765	-0.652	1.271	-0.862	-2.426	2.626
0.6	-0.8	2	-1.933	-0.63	1.515	-1.368	-2.342	3.3
0.6	-0.6	2	-2.086	-0.559	1.758	-1.898	-2.078	3.983
0.6	-0.4	2	-2.21	-0.435	1.972	-2.385	-1.614	4.595
0.6	-0.2	2	-2.295	-0.261	2.129	-2.75	-0.967	5.045
0.6	0	2	-2.333	-0.054	2.201	-2.921	-0.2	5.254
0.6	0.2	2	-2.32	0.16	2.176	-2.863	0.593	5.183
0.6	0.4	2	-2.258	0.353	2.059	-2.588	1.31	4.846
0.6	0.6	2	-2.152	0.504	1.871	-2.152	1.871	4.304
0.6	0.8	2	-2.012	0.601	1.638	-1.633	2.234	3.645
