! SURFACE FORMAT
-7.500000e+02 0.000000e+00 -7.500000e+02 0.000000e+00 10
-5.500000e+02 0.000000e+00 -4.500000e+02 0.000000e+00 5.054016e-01 2.527008e-02
-4.500000e+02 0.000000e+00 -3.500000e+02 0.000000e+00 2.203984e-01 1.101992e-02
-3.500000e+02 0.000000e+00 -2.500000e+02 0.000000e+00 1.264817e-01 6.324087e-03
-2.500000e+02 0.000000e+00 -1.500000e+02 0.000000e+00 7.604692e-02 3.802346e-03
-1.500000e+02 0.000000e+00 -5.000000e+01 0.000000e+00 4.968354e-02 2.484177e-03
-5.000000e+01 0.000000e+00 5.000000e+01 0.000000e+00 2.882500e-02 1.441250e-03
5.000000e+01 0.000000e+00 1.500000e+02 0.000000e+00 1.737038e-02 8.685188e-04
1.500000e+02 0.000000e+00 2.500000e+02 0.000000e+00 1.202804e-02 6.014020e-04
2.500000e+02 0.000000e+00 3.500000e+02 0.000000e+00 1.007559e-02 5.037793e-04
3.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 8.018571e-03 4.009285e-04

-6.500000e+02 0.000000e+00 -6.500000e+02 0.000000e+00 10
-4.500000e+02 0.000000e+00 -3.500000e+02 0.000000e+00 5.060535e-01 2.530267e-02
-3.500000e+02 0.000000e+00 -2.500000e+02 0.000000e+00 2.295959e-01 1.147979e-02
-2.500000e+02 0.000000e+00 -1.500000e+02 0.000000e+00 1.346217e-01 6.731085e-03
-1.500000e+02 0.000000e+00 -5.000000e+01 0.000000e+00 7.461940e-02 3.730970e-03
-5.000000e+01 0.000000e+00 5.000000e+01 0.000000e+00 4.304559e-02 2.152280e-03
5.000000e+01 0.000000e+00 1.500000e+02 0.000000e+00 2.420522e-02 1.210261e-03
1.500000e+02 0.000000e+00 2.500000e+02 0.000000e+00 1.597597e-02 7.987983e-04
2.500000e+02 0.000000e+00 3.500000e+02 0.000000e+00 1.247019e-02 6.235096e-04
3.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 9.856815e-03 4.928408e-04
4.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 8.202244e-03 4.101122e-04

-5.500000e+02 0.000000e+00 -5.500000e+02 0.000000e+00 10
-3.500000e+02 0.000000e+00 -2.500000e+02 0.000000e+00 5.052585e-01 2.526293e-02
-2.500000e+02 0.000000e+00 -1.500000e+02 0.000000e+00 2.388916e-01 1.194458e-02
-1.500000e+02 0.000000e+00 -5.000000e+01 0.000000e+00 1.245305e-01 6.226523e-03
-5.000000e+01 0.000000e+00 5.000000e+01 0.000000e+00 6.774140e-02 3.387070e-03
5.000000e+01 0.000000e+00 1.500000e+02 0.000000e+00 3.399985e-02 1.699992e-03
1.500000e+02 0.000000e+00 2.500000e+02 0.000000e+00 2.241115e-02 1.120557e-03
2.500000e+02 0.000000e+00 3.500000e+02 0.000000e+00 1.517739e-02 7.588694e-04
3.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 1.175318e-02 5.876591e-04
4.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 9.886988e-03 4.943494e-04
5.500000e+02 0.000000e+00 6.500000e+02 0.000000e+00 7.989836e-03 3.994918e-04

-4.500000e+02 0.000000e+00 -4.500000e+02 0.000000e+00 10
-2.500000e+02 0.000000e+00 -1.500000e+02 0.000000e+00 5.319719e-01 2.659860e-02
-1.500000e+02 0.000000e+00 -5.000000e+01 0.000000e+00 2.347936e-01 1.173968e-02
-5.000000e+01 0.000000e+00 5.000000e+01 0.000000e+00 1.094323e-01 5.471614e-03
5.000000e+01 0.000000e+00 1.500000e+02 0.000000e+00 5.477815e-02 2.738907e-03
1.500000e+02 0.000000e+00 2.500000e+02 0.000000e+00 3.140939e-02 1.570469e-03
2.500000e+02 0.000000e+00 3.500000e+02 0.000000e+00 2.075106e-02 1.037553e-03
3.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 1.504818e-02 7.524089e-04
4.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 1.189362e-02 5.946809e-04
5.500000e+02 0.000000e+00 6.500000e+02 0.000000e+00 9.631972e-03 4.815986e-04
6.500000e+02 0.000000e+00 7.500000e+02 0.000000e+00 8.467802e-03 4.233901e-04

-3.500000e+02 0.000000e+00 -3.500000e+02 0.000000e+00 10
-1.500000e+02 0.000000e+00 -5.000000e+01 0.000000e+00 5.215215e-01 2.607607e-02
-5.000000e+01 0.000000e+00 5.000000e+01 0.000000e+00 2.092884e-01 1.046442e-02
5.000000e+01 0.000000e+00 1.500000e+02 0.000000e+00 9.402674e-02 4.701337e-03
1.500000e+02 0.000000e+00 2.500000e+02 0.000000e+00 4.735222e-02 2.367611e-03
2.500000e+02 0.000000e+00 3.500000e+02 0.000000e+00 2.885866e-02 1.442933e-03
3.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 2.053406e-02 1.026703e-03
4.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 1.542232e-02 7.711159e-04
5.500000e+02 0.000000e+00 6.500000e+02 0.000000e+00 1.216889e-02 6.084446e-04
6.500000e+02 0.000000e+00 7.500000e+02 0.000000e+00 1.015853e-02 5.079264e-04
7.500000e+02 0.000000e+00 8.500000e+02 0.000000e+00 8.108639e-03 4.054319e-04

